OBJECTID,BikeRackID,Name,RackType,Capacity,Individual,Secure,BikeAreaUse,Position,LastDate,Maintains,Notes,Max_PDOP,Rcvr_Type,GPS_Date,GPS_Time,Unfilt_Pos,Vert_Prec,Horz_Prec,Lat,Lng,Active
37,,Proposed Volleyball Courts,,,,,,,,,,,HeadsUpDigitized,,,,,,38.89137929,-77.05381341,Proposed
38,,Proposed Northeast Vietnam,,,,,,,,,,,HeadsUpDigitized,,,,,,38.89156303,-77.04670051,Proposed
39,,Proposed New NAMA HQ,,,,,,,,,,,HeadsUpDigitized,,,,,,38.87644692,-77.03444704,Proposed
40,,Proposed Hains Point Picnic Area,,,,,,,,,,,HeadsUpDigitized,,,,,,38.85997869,-77.02309558,Proposed
