Object,Plot_Name,Unit_Code,Lat,Lng,PC1,PC2,PC3,PC4,PC5
46,CATO-0302,CATO,39.63609605,-77.45583685,Red-eyed Vireo,Wood Thrush,Eastern Wood-Pewee,Ovenbird,Scarlet Tanager
47,CATO-0303,CATO,39.63615758,-77.45292615,Red-eyed Vireo,Wood Thrush,Acadian Flycatcher,Scarlet Tanager,Eastern Wood-Pewee
48,CATO-0311,CATO,39.63664725,-77.42964024,Red-eyed Vireo,Wood Thrush,Eastern Wood-Pewee,Ovenbird,Red-bellied Woodpecker
49,CATO-0313,CATO,39.63676894,-77.42381867,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,American Robin,Ovenbird
50,CATO-0316,CATO,39.63359867,-77.46739955,Red-eyed Vireo,Eastern Wood-Pewee,Scarlet Tanager,Acadian Flycatcher,Blue Jay
51,CATO-0323,CATO,39.6340299,-77.44702538,Red-eyed Vireo,Eastern Wood-Pewee,Scarlet Tanager,Wood Thrush,Ovenbird
52,CATO-0330,CATO,39.63445756,-77.42665077,Eastern Wood-Pewee,Wood Thrush,Red-eyed Vireo,Scarlet Tanager,Blue Jay
53,CATO-0331,CATO,39.63451836,-77.42374008,Wood Thrush,Eastern Wood-Pewee,Blue Jay,Scarlet Tanager,Red-eyed Vireo
54,CATO-0333,CATO,39.63147174,-77.46149859,Red-eyed Vireo,Scarlet Tanager,Acadian Flycatcher,Eastern Tufted Titmouse,Blue Jay
55,CATO-0342,CATO,39.63232851,-77.42075088,Eastern Wood-Pewee,Wood Thrush,American Robin,Blue Jay,Red-eyed Vireo
56,CATO-0346,CATO,39.62983462,-77.4323144,Red-eyed Vireo,Eastern Wood-Pewee,Scarlet Tanager,Blue Jay,Ovenbird
57,CATO-0347,CATO,39.62989556,-77.42940392,Eastern Wood-Pewee,Scarlet Tanager,Blue Jay,Red-eyed Vireo,Wood Thrush
58,CATO-0359,CATO,39.62533349,-77.43215671,Red-eyed Vireo,Eastern Wood-Pewee,Scarlet Tanager,Wood Thrush,Blue Jay
59,CATO-0365,CATO,39.62083236,-77.43199906,Wood Thrush,Eastern Wood-Pewee,Red-eyed Vireo,Blue Jay,Downy Woodpecker
60,CHOH-0002,CHOH,39.69722646,-78.18390919,Carolina Wren,American Robin,Common Grackle,Blue Jay,Eastern Tufted Titmouse
61,CHOH-0006,CHOH,39.69240811,-78.19534721,Northern Cardinal,Eastern Tufted Titmouse,American Crow,Red-bellied Woodpecker,Carolina Wren
62,CHOH-0008,CHOH,39.69352364,-78.15458929,Canada Goose,Song Sparrow,Northern Cardinal,Carolina Wren,Common Grackle
63,CHOH-0012,CHOH,39.6916694,-78.13993034,Red-eyed Vireo,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Song Sparrow
64,CHOH-0026,CHOH,39.68353478,-78.10750133,Carolina Wren,Eastern Tufted Titmouse,Red-eyed Vireo,Song Sparrow,American Goldfinch
65,CHOH-0074,CHOH,39.64348035,-78.2542611,Red-eyed Vireo,Northern Cardinal,Carolina Wren,Song Sparrow,Acadian Flycatcher
66,CHOH-0076,CHOH,39.64908952,-78.04769452,Red-eyed Vireo,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Blue-gray Gnatcatcher
67,CHOH-0081,CHOH,39.6390023,-78.33269108,Red-eyed Vireo,Eastern Tufted Titmouse,Indigo Bunting,American Crow,Carolina Wren
68,CHOH-0102,CHOH,39.64249399,-78.04157896,Red-eyed Vireo,Carolina Wren,Eastern Tufted Titmouse,Northern Cardinal,Blue-gray Gnatcatcher
69,CHOH-0106,CHOH,39.63116407,-78.37017357,American Crow,Red-eyed Vireo,Blue Jay,Eastern Tufted Titmouse,Indigo Bunting
70,CHOH-0196,CHOH,39.59886996,-78.76155742,American Robin,Common Grackle,Northern Cardinal,Eastern Wood-Pewee,Carolina Wren
71,CHOH-0198,CHOH,39.59905821,-78.75574634,Canada Goose,American Robin,Song Sparrow,Northern Cardinal,Gray Catbird
72,CHOH-0239,CHOH,39.61624051,-77.92395652,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,American Robin,Indigo Bunting
73,CHOH-0253,CHOH,39.61486478,-77.88895723,Acadian Flycatcher,Northern Cardinal,American Goldfinch,Carolina Wren,Red-bellied Woodpecker
74,CHOH-0256,CHOH,39.58847574,-78.73480267,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Red-eyed Vireo,Red-bellied Woodpecker
75,CHOH-0262,CHOH,39.61070845,-77.9644858,American Crow,Northern Cardinal,Acadian Flycatcher,Red-bellied Woodpecker,American Goldfinch
76,CHOH-0267,CHOH,39.61107892,-77.94994364,Wood Thrush,Acadian Flycatcher,Northern Cardinal,Eastern Wood-Pewee,Eastern Tufted Titmouse
77,CHOH-0281,CHOH,39.59607447,-78.41504227,Red-eyed Vireo,Indigo Bunting,Northern Cardinal,Red-bellied Woodpecker,American Crow
78,CHOH-0286,CHOH,39.60875537,-77.95275645,Northern Cardinal,Eastern Wood-Pewee,Carolina Wren,Red-bellied Woodpecker,Acadian Flycatcher
79,CHOH-0360,CHOH,39.60601043,-77.8827661,Northern Cardinal,Acadian Flycatcher,American Goldfinch,Eastern Tufted Titmouse,Carolina Wren
80,CHOH-0380,CHOH,39.6012633,-77.98154977,Red-eyed Vireo,Northern Cardinal,Acadian Flycatcher,American Crow,Eastern Tufted Titmouse
81,CHOH-0389,CHOH,39.60504881,-77.83032115,Northern Cardinal,Carolina Wren,American Goldfinch,Red-eyed Vireo,Eastern Tufted Titmouse
82,CHOH-0407,CHOH,39.60151094,-77.88257939,Northern Cardinal,Acadian Flycatcher,Carolina Wren,American Goldfinch,Eastern Tufted Titmouse
83,CHOH-0428,CHOH,39.57292776,-78.72814794,Carolina Wren,Acadian Flycatcher,American Crow,Red-eyed Vireo,Blue-gray Gnatcatcher
84,CHOH-0433,CHOH,39.58275368,-78.40856726,Northern Cardinal,Red-eyed Vireo,Indigo Bunting,Blue-gray Gnatcatcher,American Crow
85,CHOH-0443,CHOH,39.57895732,-78.46076092,Red-eyed Vireo,American Crow,Indigo Bunting,Eastern Tufted Titmouse,Blue-gray Gnatcatcher
86,CHOH-0487,CHOH,39.55802927,-78.70116859,Indigo Bunting,Red-eyed Vireo,Eastern Tufted Titmouse,Northern Cardinal,Wood Thrush
87,CHOH-0489,CHOH,39.56563937,-78.45427916,Red-eyed Vireo,Scarlet Tanager,Pine Warbler,Indigo Bunting,Eastern Tufted Titmouse
88,CHOH-0539,CHOH,39.54734381,-78.68314898,Indigo Bunting,Eastern Tufted Titmouse,Red-eyed Vireo,Blue-gray Gnatcatcher,Red-bellied Woodpecker
89,CHOH-0577,CHOH,39.54955352,-78.46511538,Blue Jay,Eastern Tufted Titmouse,American Crow,Indigo Bunting,Red-eyed Vireo
90,CHOH-0586,CHOH,39.5411513,-78.66537162,Indigo Bunting,Eastern Towhee,Northern Cardinal,Blue-gray Gnatcatcher,Red-eyed Vireo
91,CHOH-0609,CHOH,39.53990732,-78.63331562,Red-eyed Vireo,Indigo Bunting,Northern Cardinal,White-breasted Nuthatch,Blue-gray Gnatcatcher
92,CHOH-0661,CHOH,39.54272131,-78.46768362,Eastern Tufted Titmouse,Red-eyed Vireo,American Crow,Eastern Wood-Pewee,Wood Thrush
93,CHOH-0666,CHOH,39.54315413,-78.45316281,Red-eyed Vireo,Indigo Bunting,European Starling,American Crow,Blue-gray Gnatcatcher
94,CHOH-0677,CHOH,39.53676595,-78.58952988,Northern Cardinal,Indigo Bunting,Carolina Wren,Blue-gray Gnatcatcher,Red-eyed Vireo
95,CHOH-0679,CHOH,39.54055951,-78.46466754,Eastern Towhee,Pine Warbler,American Crow,Blue Jay,Indigo Bunting
96,CHOH-0697,CHOH,39.55419384,-77.88352767,Blue Jay,Brown-headed Cowbird,Common Grackle,Eastern Tufted Titmouse,Northern Cardinal
97,CHOH-0755,CHOH,39.51936592,-78.49559518,Indigo Bunting,Eastern Tufted Titmouse,Red-eyed Vireo,Northern Parula,Red-bellied Woodpecker
98,CHOH-0788,CHOH,39.5190571,-77.84717963,Northern Cardinal,American Crow,Acadian Flycatcher,Carolina Wren,Eastern Tufted Titmouse
99,CHOH-0795,CHOH,39.51273334,-77.82947608,American Crow,Northern Cardinal,Canada Goose,Acadian Flycatcher,Carolina Wren
100,CHOH-0806,CHOH,39.49895055,-77.84054455,Northern Cardinal,American Crow,Acadian Flycatcher,American Goldfinch,Carolina Wren
101,CHOH-0812,CHOH,39.50063384,-77.77084413,Carolina Wren,Northern Cardinal,Chipping Sparrow,Eastern Tufted Titmouse,American Crow
102,CHOH-0832,CHOH,39.48706452,-77.77321159,Northern Cardinal,Acadian Flycatcher,Carolina Wren,Red-bellied Woodpecker,American Goldfinch
103,CHOH-0847,CHOH,39.47307777,-77.79299708,Northern Cardinal,Wood Thrush,Eastern Wood-Pewee,Carolina Wren,Eastern Tufted Titmouse
104,CHOH-0856,CHOH,39.45950812,-77.79535959,Carolina Wren,Eastern Tufted Titmouse,Acadian Flycatcher,Eastern Wood-Pewee,Northern Cardinal
105,CHOH-0932,CHOH,39.36849926,-77.7394966,Wood Thrush,Acadian Flycatcher,Red-eyed Vireo,Northern Cardinal,Eastern Tufted Titmouse
106,CHOH-0941,CHOH,39.345793,-77.7473111,Eastern Wood-Pewee,Wood Thrush,American Crow,Northern Cardinal,Red-bellied Woodpecker
107,CHOH-0942,CHOH,39.34586143,-77.74441316,Eastern Wood-Pewee,Red-eyed Vireo,American Crow,Red-bellied Woodpecker,Blue Jay
108,CHOH-0961,CHOH,39.33672409,-77.74985609,Warbling Vireo,Acadian Flycatcher,Eastern Tufted Titmouse,Eastern Wood-Pewee,Northern Cardinal
109,CHOH-0983,CHOH,39.31856065,-77.65925922,Canada Goose,Carolina Wren,American Crow,Eastern Tufted Titmouse,Red-eyed Vireo
110,CHOH-0986,CHOH,39.31650871,-77.65048311,Northern Cardinal,American Crow,Eastern Tufted Titmouse,Carolina Wren,Carolina Chickadee
111,CHOH-0989,CHOH,39.31233717,-77.63582916,Northern Cardinal,Carolina Wren,Carolina Chickadee,American Crow,Fish Crow
112,CHOH-1018,CHOH,39.28276692,-77.54777702,Carolina Wren,Northern Cardinal,Wood Thrush,American Goldfinch,Eastern Wood-Pewee
113,CHOH-1028,CHOH,39.27176735,-77.53578774,Red-eyed Vireo,Northern Cardinal,Carolina Wren,Acadian Flycatcher,American Goldfinch
114,CHOH-1036,CHOH,39.25676516,-77.50048226,Northern Cardinal,Carolina Wren,American Crow,Red-eyed Vireo,Acadian Flycatcher
115,CHOH-1044,CHOH,39.24600724,-77.47692702,Acadian Flycatcher,American Crow,Northern Cardinal,Red-eyed Vireo,Eastern Tufted Titmouse
116,CHOH-1045,CHOH,39.24606879,-77.47403256,Acadian Flycatcher,American Goldfinch,Northern Cardinal,Eastern Tufted Titmouse,Red-eyed Vireo
117,CHOH-1055,CHOH,39.23943974,-77.46800684,Gray Catbird,Acadian Flycatcher,Red-eyed Vireo,Northern Cardinal,American Goldfinch
118,CHOH-1063,CHOH,39.235061,-77.46206098,Northern Cardinal,American Crow,Red-bellied Woodpecker,White-breasted Nuthatch,Red-eyed Vireo
119,CHOH-1081,CHOH,39.22174021,-77.45290839,Acadian Flycatcher,Eastern Wood-Pewee,Carolina Wren,Northern Cardinal,Red-eyed Vireo
120,CHOH-1111,CHOH,39.18286602,-77.48049627,American Crow,Acadian Flycatcher,Carolina Wren,Red-bellied Woodpecker,Red-eyed Vireo
121,CHOH-1124,CHOH,39.17586714,-77.49182512,Wood Thrush,Eastern Wood-Pewee,Red-bellied Woodpecker,Blue Jay,Scarlet Tanager
122,CHOH-1136,CHOH,39.17130397,-77.49455751,Wood Thrush,Eastern Wood-Pewee,Blue Jay,Red-eyed Vireo,White-breasted Nuthatch
123,CHOH-1143,CHOH,39.16917705,-77.48869541,Eastern Wood-Pewee,Wood Thrush,Blue Jay,Red-bellied Woodpecker,American Robin
124,CHOH-1148,CHOH,39.15955323,-77.51728667,Acadian Flycatcher,American Crow,Carolina Wren,Gray Catbird,Fish Crow
125,CHOH-1183,CHOH,39.1150996,-77.48968212,Northern Cardinal,Carolina Wren,Acadian Flycatcher,Eastern Tufted Titmouse,American Crow
126,CHOH-1186,CHOH,39.11528449,-77.48101488,Northern Cardinal,Eastern Tufted Titmouse,Indigo Bunting,Acadian Flycatcher,Red-eyed Vireo
127,CHOH-1191,CHOH,39.11303381,-77.48093591,Northern Cardinal,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Red-bellied Woodpecker,Red-eyed Vireo
128,CHOH-1196,CHOH,39.11084461,-77.47796804,Eastern Tufted Titmouse,Acadian Flycatcher,Blue-gray Gnatcatcher,Indigo Bunting,Red-bellied Woodpecker
129,CHOH-1197,CHOH,39.11090602,-77.47507912,Indigo Bunting,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Eastern Towhee,Northern Cardinal
130,CHOH-1201,CHOH,39.10871666,-77.47211151,Eastern Tufted Titmouse,Carolina Wren,Indigo Bunting,Northern Cardinal,Eastern Towhee
131,CHOH-1211,CHOH,39.09527369,-77.46875132,Acadian Flycatcher,Carolina Wren,Red-bellied Woodpecker,Eastern Tufted Titmouse,Blue-gray Gnatcatcher
132,CHOH-1217,CHOH,39.08426425,-77.45680734,Eastern Tufted Titmouse,Acadian Flycatcher,Carolina Wren,Red-eyed Vireo,Blue-gray Gnatcatcher
133,CHOH-1223,CHOH,39.07793639,-77.43635957,American Goldfinch,Northern Cardinal,Carolina Wren,American Crow,Common Grackle
134,CHOH-1226,CHOH,39.07586639,-77.42761936,Northern Cardinal,Carolina Wren,Acadian Flycatcher,Eastern Wood-Pewee,Eastern Tufted Titmouse
135,CHOH-1235,CHOH,39.06971182,-77.39851421,Acadian Flycatcher,Northern Cardinal,Eastern Tufted Titmouse,Carolina Wren,Blue-gray Gnatcatcher
136,CHOH-1241,CHOH,39.06775717,-77.38400128,Northern Cardinal,Carolina Wren,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Carolina Chickadee
137,CHOH-1256,CHOH,39.06863503,-77.3406899,Black Vulture,European Starling,Common Grackle,Fish Crow,American Crow
138,CHOH-1319,CHOH,39.03663219,-77.25010148,Carolina Wren,Northern Cardinal,White-breasted Nuthatch,Blue Jay,Red-bellied Woodpecker
139,CHOH-1328,CHOH,39.01659449,-77.2379167,Eastern Tufted Titmouse,Red-eyed Vireo,Acadian Flycatcher,Carolina Wren,Red-bellied Woodpecker
140,CHOH-1336,CHOH,38.98721918,-77.24276325,Great Blue Heron,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Double-crested Cormorant,American Goldfinch
141,CHOH-1342,CHOH,38.97634996,-77.22222037,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,Carolina Wren,Northern Cardinal,Canada Goose
142,CHOH-1343,CHOH,38.97640487,-77.21933639,Eastern Tufted Titmouse,Northern Cardinal,Northern Parula,Canada Goose,Blue-gray Gnatcatcher
143,CHOH-1350,CHOH,38.97420855,-77.21638219,Canada Goose,Carolina Wren,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,Indigo Bunting
144,CHOH-1388,CHOH,38.92660605,-77.11108637,Northern Cardinal,Blue-gray Gnatcatcher,Carolina Wren,Cedar Waxwing,Eastern Tufted Titmouse
145,GWMP-0008,GWMP,39.0048378,-77.26352761,Wood Thrush,Ovenbird,American Robin,Eastern Wood-Pewee,Red-bellied Woodpecker
146,GWMP-0019,GWMP,38.9981964,-77.25754276,Wood Thrush,Eastern Wood-Pewee,Blue Jay,Acadian Flycatcher,Eastern Tufted Titmouse
147,GWMP-0040,GWMP,38.99161031,-77.24867451,Blue-gray Gnatcatcher,Northern Cardinal,Double-crested Cormorant,Black Vulture,Eastern Tufted Titmouse
148,GWMP-0045,GWMP,38.99188751,-77.2342517,Blue Jay,Wood Thrush,Eastern Wood-Pewee,Red-bellied Woodpecker,Eastern Tufted Titmouse
149,GWMP-0054,GWMP,38.98963638,-77.23418089,Blue Jay,Eastern Wood-Pewee,Wood Thrush,Red-bellied Woodpecker,Eastern Tufted Titmouse
150,GWMP-0055,GWMP,38.98969161,-77.2312964,Blue Jay,Wood Thrush,Red-bellied Woodpecker,Eastern Wood-Pewee,Eastern Tufted Titmouse
151,GWMP-0057,GWMP,38.98694095,-77.25718503,Eastern Tufted Titmouse,Blue Jay,American Robin,Eastern Wood-Pewee,Red-bellied Woodpecker
152,GWMP-0058,GWMP,38.98699674,-77.25430069,Blue Jay,Red-bellied Woodpecker,Eastern Wood-Pewee,Eastern Tufted Titmouse,Wood Thrush
153,GWMP-0059,GWMP,38.98705245,-77.25141634,Eastern Tufted Titmouse,Red-bellied Woodpecker,Louisiana Waterthrush,Red-eyed Vireo,Northern Cardinal
154,GWMP-0062,GWMP,38.98732997,-77.23699449,Red-eyed Vireo,Eastern Tufted Titmouse,Wood Thrush,Eastern Wood-Pewee,Blue Jay
155,GWMP-0072,GWMP,38.98496806,-77.24269219,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Red-eyed Vireo,Northern Cardinal,Red-bellied Woodpecker
156,GWMP-0080,GWMP,38.98277237,-77.23973693,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Northern Cardinal,Carolina Wren,Red-eyed Vireo
157,GWMP-0086,GWMP,38.98035478,-77.24831827,Eastern Wood-Pewee,Red-eyed Vireo,Eastern Tufted Titmouse,Red-bellied Woodpecker,Blue Jay
158,GWMP-0094,GWMP,38.97860111,-77.22229076,Eastern Tufted Titmouse,Northern Cardinal,Blue-gray Gnatcatcher,Carolina Wren,Red-bellied Woodpecker
159,GWMP-0120,GWMP,38.96617845,-77.16419656,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Blue Jay,Carolina Chickadee
160,GWMP-0129,GWMP,38.96398067,-77.16124444,Northern Cardinal,American Robin,Wood Thrush,Blue Jay,Eastern Tufted Titmouse
161,GWMP-0139,GWMP,38.96194253,-77.14964195,Blue Jay,American Robin,Eastern Tufted Titmouse,Northern Cardinal,Red-eyed Vireo
162,GWMP-0145,GWMP,38.95969127,-77.14957389,American Robin,Wood Thrush,Eastern Tufted Titmouse,Eastern Wood-Pewee,Red-eyed Vireo
163,GWMP-0173,GWMP,38.94226088,-77.11731944,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,Red-bellied Woodpecker
164,GWMP-0200,GWMP,38.90230731,-77.08442167,Northern Cardinal,Carolina Chickadee,Carolina Wren,American Robin,Common Grackle
165,GWMP-0207,GWMP,38.89816295,-77.06412239,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Red-eyed Vireo,Blue-gray Gnatcatcher
166,GWMP-0208,GWMP,38.89821387,-77.06124128,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Red-eyed Vireo,Blue-gray Gnatcatcher
167,GWMP-0253,GWMP,38.83102449,-77.0391422,Northern Cardinal,Red-eyed Vireo,Carolina Wren,American Robin,Blue-gray Gnatcatcher
168,GWMP-0254,GWMP,38.82872272,-77.04195629,Red-winged Blackbird,European Starling,American Robin,Cedar Waxwing,Northern Cardinal
169,GWMP-0256,GWMP,38.82647125,-77.04189195,Red-winged Blackbird,Northern Cardinal,American Robin,Carolina Wren,Cedar Waxwing
170,GWMP-0286,GWMP,38.76547969,-77.05166065,Red-winged Blackbird,Northern Cardinal,Common Grackle,American Goldfinch,Carolina Wren
171,GWMP-0307,GWMP,38.73851225,-77.0480124,Northern Cardinal,American Robin,European Starling,Common Grackle,Carolina Wren
172,HAFE-0009,HAFE,39.34204132,-77.71525886,Red-eyed Vireo,Northern Cardinal,Eastern Towhee,Great Crested Flycatcher,Eastern Tufted Titmouse
173,HAFE-0021,HAFE,39.33754098,-77.71508462,Wood Thrush,Eastern Wood-Pewee,Blue Jay,Eastern Tufted Titmouse,Scarlet Tanager
174,HAFE-0028,HAFE,39.3352908,-77.71499752,Wood Thrush,Eastern Wood-Pewee,Blue Jay,Red-bellied Woodpecker,Red-eyed Vireo
175,HAFE-0030,HAFE,39.33201805,-77.75837176,Wood Thrush,Eastern Wood-Pewee,Red-bellied Woodpecker,Northern Cardinal,Blue Jay
176,HAFE-0039,HAFE,39.33297296,-77.71780792,Eastern Wood-Pewee,Red-eyed Vireo,Wood Thrush,Blue Jay,Scarlet Tanager
177,HAFE-0042,HAFE,39.32942353,-77.77276944,Northern Cardinal,American Crow,Indigo Bunting,Cedar Waxwing,Carolina Wren
178,HAFE-0044,HAFE,39.3296304,-77.76407778,American Robin,Blue Jay,Northern Cardinal,Gray Catbird,American Crow
179,HAFE-0053,HAFE,39.32710436,-77.77557762,Northern Cardinal,Indigo Bunting,Field Sparrow,Eastern Towhee,American Goldfinch
180,HAFE-0061,HAFE,39.32833709,-77.72342816,Red-eyed Vireo,American Crow,Scarlet Tanager,Great Crested Flycatcher,Blue Jay
181,HAFE-0074,HAFE,39.32622244,-77.71754643,Eastern Tufted Titmouse,Red-eyed Vireo,Eastern Wood-Pewee,Great Crested Flycatcher,American Crow
182,HAFE-0083,HAFE,39.32336022,-77.74353292,Carolina Wren,Northern Cardinal,American Crow,Blue Jay,Chimney Swift
183,HAFE-0118,HAFE,39.31940421,-77.72018194,Red-eyed Vireo,Eastern Wood-Pewee,Scarlet Tanager,American Crow,Eastern Tufted Titmouse
184,HAFE-0133,HAFE,39.31674632,-77.73747552,Red-eyed Vireo,Eastern Wood-Pewee,Indigo Bunting,Scarlet Tanager,Great Crested Flycatcher
185,HAFE-0154,HAFE,39.3143597,-77.7431811,Red-eyed Vireo,American Crow,Northern Cardinal,Red-bellied Woodpecker,Carolina Wren
186,HAFE-0160,HAFE,39.31537623,-77.69973015,Wood Thrush,Eastern Tufted Titmouse,Northern Cardinal,Red-eyed Vireo,Red-bellied Woodpecker
187,HAFE-0174,HAFE,39.31204123,-77.74598973,Red-eyed Vireo,American Crow,Eastern Wood-Pewee,Northern Cardinal,Eastern Tufted Titmouse
188,HAFE-0192,HAFE,39.3097227,-77.74879817,Northern Cardinal,Eastern Tufted Titmouse,Red-eyed Vireo,Carolina Wren,American Crow
189,HAFE-0195,HAFE,39.3099277,-77.74010877,Eastern Wood-Pewee,Red-eyed Vireo,Ovenbird,Eastern Tufted Titmouse,Wood Thrush
190,HAFE-0208,HAFE,39.30754098,-77.74581371,Eastern Wood-Pewee,Wood Thrush,American Crow,Northern Cardinal,Scarlet Tanager
191,HAFE-0218,HAFE,39.30529085,-77.74572572,Eastern Wood-Pewee,Scarlet Tanager,American Crow,Cedar Waxwing,Wood Thrush
192,MANA-0002,MANA,38.83921162,-77.54051429,American Crow,Eastern Tufted Titmouse,Carolina Wren,Northern Cardinal,Great Crested Flycatcher
193,MANA-0011,MANA,38.83764549,-77.50877925,Red-eyed Vireo,Eastern Tufted Titmouse,Carolina Wren,Red-bellied Woodpecker,Acadian Flycatcher
194,MANA-0025,MANA,38.83308215,-77.51149872,Eastern Tufted Titmouse,Red-eyed Vireo,Blue-gray Gnatcatcher,Acadian Flycatcher,Red-bellied Woodpecker
195,MANA-0027,MANA,38.83020888,-77.54019405,Red-eyed Vireo,Eastern Tufted Titmouse,American Crow,Blue-gray Gnatcatcher,Eastern Wood-Pewee
196,MANA-0030,MANA,38.83039638,-77.5315618,Eastern Tufted Titmouse,Northern Cardinal,American Crow,Blue-gray Gnatcatcher,Eastern Wood-Pewee
197,MANA-0039,MANA,38.82795819,-77.54011402,Eastern Tufted Titmouse,Northern Cardinal,American Crow,Blue-gray Gnatcatcher,Red-eyed Vireo
198,MANA-0054,MANA,38.82564487,-77.54291121,Eastern Tufted Titmouse,Northern Cardinal,Field Sparrow,Prairie Warbler,Indigo Bunting
199,MANA-0060,MANA,38.82601961,-77.52564777,Northern Cardinal,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,Eastern Towhee,Carolina Wren
200,MANA-0067,MANA,38.82657693,-77.499752,Northern Cardinal,Eastern Towhee,Carolina Wren,American Crow,Prairie Warbler
201,MANA-0091,MANA,38.82076628,-77.56001303,American Crow,Field Sparrow,Indigo Bunting,Eastern Towhee,Blue Jay
202,MANA-0094,MANA,38.82095521,-77.55138206,Red-winged Blackbird,American Crow,Common Yellowthroat,Indigo Bunting,Cedar Waxwing
203,MANA-0106,MANA,38.8218903,-77.50822597,Blue-gray Gnatcatcher,Red-eyed Vireo,Eastern Tufted Titmouse,Carolina Wren,Eastern Wood-Pewee
204,MANA-0119,MANA,38.81901798,-77.53691701,Field Sparrow,Indigo Bunting,Northern Cardinal,American Crow,Eastern Towhee
205,MANA-0131,MANA,38.81607543,-77.56848213,Prairie Warbler,Eastern Towhee,Common Yellowthroat,Field Sparrow,Northern Cardinal
206,MANA-0163,MANA,38.81476603,-77.52525002,Blue-gray Gnatcatcher,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Carolina Chickadee
207,MANA-0170,MANA,38.81519982,-77.5051121,Eastern Tufted Titmouse,Carolina Wren,Red-eyed Vireo,Blue-gray Gnatcatcher,Carolina Chickadee
208,MANA-0202,MANA,38.80970185,-77.55098034,American Goldfinch,Northern Cardinal,American Crow,Carolina Wren,Eastern Tufted Titmouse
209,MANA-0205,MANA,38.80995266,-77.53947405,Eastern Wood-Pewee,Red-eyed Vireo,Eastern Tufted Titmouse,Great Crested Flycatcher,American Goldfinch
210,MANA-0218,MANA,38.8109446,-77.49344748,Northern Cardinal,Eastern Tufted Titmouse,American Goldfinch,Carolina Wren,Blue-gray Gnatcatcher
211,MANA-0223,MANA,38.80726233,-77.55952937,Eastern Tufted Titmouse,Carolina Chickadee,Eastern Wood-Pewee,Field Sparrow,Blue-gray Gnatcatcher
212,MANA-0229,MANA,38.80776449,-77.53651759,Eastern Tufted Titmouse,Carolina Wren,European Starling,Eastern Wood-Pewee,Northern Cardinal
213,MANA-0240,MANA,38.80482221,-77.56807779,Carolina Wren,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,Carolina Chickadee,Northern Cardinal
214,MANA-0243,MANA,38.80501167,-77.55944879,Field Sparrow,Eastern Tufted Titmouse,Eastern Towhee,Northern Cardinal,Carolina Chickadee
215,MANA-0253,MANA,38.80576315,-77.52493199,Red-eyed Vireo,Eastern Tufted Titmouse,Eastern Wood-Pewee,American Robin,Blue-gray Gnatcatcher
216,MONO-0026,MONO,39.36948256,-77.38843028,American Goldfinch,Song Sparrow,Acadian Flycatcher,Blue-gray Gnatcatcher,Common Grackle
217,MONO-0038,MONO,39.36735077,-77.38255426,American Robin,Red-bellied Woodpecker,Blue Jay,Wood Thrush,Carolina Wren
218,MONO-0039,MONO,39.36741014,-77.37965459,Wood Thrush,American Robin,Eastern Wood-Pewee,Blue Jay,Red-bellied Woodpecker
219,MONO-0044,MONO,39.36480215,-77.39697548,Red-eyed Vireo,Northern Cardinal,Carolina Wren,Indigo Bunting,Eastern Tufted Titmouse
220,MONO-0052,MONO,39.36249164,-77.39979793,Carolina Wren,Indigo Bunting,Rock Pigeon,Blue-gray Gnatcatcher,Eastern Wood-Pewee
221,MONO-0056,MONO,39.36278985,-77.3853007,American Robin,Northern Cardinal,Eastern Wood-Pewee,Blue Jay,Mourning Dove
222,MONO-0061,MONO,39.36024092,-77.39972087,Northern Cardinal,Wood Thrush,Acadian Flycatcher,Eastern Tufted Titmouse,Carolina Wren
223,MONO-0069,MONO,39.35793035,-77.40254305,Wood Thrush,Eastern Tufted Titmouse,Red-bellied Woodpecker,American Crow,American Robin
224,MONO-0074,MONO,39.35549966,-77.41116329,Carolina Wren,Indigo Bunting,Northern Cardinal,Blue-gray Gnatcatcher,Eastern Wood-Pewee
225,MONO-0077,MONO,39.35567963,-77.40246592,Wood Thrush,Eastern Tufted Titmouse,Eastern Wood-Pewee,Blue Jay,Northern Cardinal
