Object,Plot_Name,Unit_Code,Lat,Lng,PC1,PC2,PC3,PC4,PC5
326,PRWI-0369,PRWI,38.58771757,-77.39673548,Ovenbird,Red-eyed Vireo,Acadian Flycatcher,American Crow,Eastern Tufted Titmouse
327,PRWI-0377,PRWI,38.58818544,-77.37379113,Acadian Flycatcher,Red-eyed Vireo,Ovenbird,Blue-gray Gnatcatcher,Wood Thrush
328,PRWI-0378,PRWI,38.58824361,-77.37092305,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Blue-gray Gnatcatcher,Eastern Tufted Titmouse
329,PRWI-0379,PRWI,38.58830171,-77.36805496,Hooded Warbler,Red-eyed Vireo,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,American Crow
330,PRWI-0381,PRWI,38.58841769,-77.36231876,Red-eyed Vireo,Blue-gray Gnatcatcher,Ovenbird,Scarlet Tanager,Eastern Wood-Pewee
331,PRWI-0392,PRWI,38.58499422,-77.41960371,Red-eyed Vireo,Blue-gray Gnatcatcher,Ovenbird,Acadian Flycatcher,Eastern Tufted Titmouse
332,PRWI-0395,PRWI,38.58517187,-77.41100011,Red-eyed Vireo,Ovenbird,Acadian Flycatcher,Blue-gray Gnatcatcher,Scarlet Tanager
333,PRWI-0398,PRWI,38.58534889,-77.40239644,Red-eyed Vireo,American Crow,Eastern Wood-Pewee,Ovenbird,Acadian Flycatcher
334,PRWI-0399,PRWI,38.58540775,-77.39952853,Red-eyed Vireo,Eastern Wood-Pewee,Ovenbird,Acadian Flycatcher,Eastern Tufted Titmouse
335,PRWI-0401,PRWI,38.58552527,-77.39379269,Red-eyed Vireo,Ovenbird,Acadian Flycatcher,Eastern Wood-Pewee,Wood Thrush
336,PRWI-0409,PRWI,38.58599254,-77.37084899,Red-eyed Vireo,Ovenbird,Carolina Chickadee,Eastern Tufted Titmouse,Eastern Wood-Pewee
337,PRWI-0417,PRWI,38.58645532,-77.34790476,Eastern Tufted Titmouse,Red-eyed Vireo,Wood Thrush,Acadian Flycatcher,Eastern Wood-Pewee
338,PRWI-0431,PRWI,38.58309787,-77.4023214,Red-eyed Vireo,Eastern Tufted Titmouse,Acadian Flycatcher,Ovenbird,Eastern Wood-Pewee
339,PRWI-0436,PRWI,38.58339147,-77.38798222,Ovenbird,Wood Thrush,Red-eyed Vireo,Acadian Flycatcher,Eastern Wood-Pewee
340,PRWI-0441,PRWI,38.58368332,-77.37364283,Red-eyed Vireo,Eastern Tufted Titmouse,American Robin,Eastern Wood-Pewee,Wood Thrush
