OBJECTID_1,OBJECTID,ASSETNUM,DESCRIPTIO,INSERVICE,LOCATIONDE,ISNFPA,LASTSERVIC,BATTALION,ENGINEID,XCOOR,YCOOR,DCS_LAST_M,lat,lng
126,2118169,H08202,"NPS - HYDRANT, AM DARLING - B-84-B",Y,JEFFERSON DR BET 12TH ST AND 14TH ST SW NORTHSIDE - 3RD HYDRANT FROM 14TH STREET,N,2011-11-22T00:00:00.000Z,6,E-13,397478,135652,2012-06-06T06:00:31.000Z,38.88871496,-77.02906455
128,2116073,H05957,"NPS - HYDRANT, AM DARLING - B-84-B",Y,JEFFERSON ST BET 12TH ST AND 9TH ST SW NORTHSIDE,N,2011-11-22T00:00:00.000Z,6,E-13,397869,135667,2012-06-06T06:00:31.000Z,38.88884976,-77.02456246
129,2119111,H08976,"NPS - HYDRANT, AM DARLING - B-84-B",Y,JEFFERSON DR BET 3RD ST AND 4TH ST SW NORTHSIDE - NPS // ACROSS FROM NATIVE AMERICAN MUSEUM,N,2011-11-22T00:00:00.000Z,6,E-13,398561,135669,2012-06-06T06:00:31.000Z,38.88886827,-77.01658512
130,2123139,H00215,"DDOT - HYDRANT, METRO - WALL MOUNT FLSH",Y,IN FRONT OF 40+00 3RD ST TUNNEL NB SW WESTSIDE - 3RD ST TUNNEL // NBH4,N,2011-08-19T00:00:00.000Z,6,E-13,398779,135671,2012-06-06T06:00:31.000Z,38.88888603,-77.01407071
132,2121306,H20934,"DDOT - HYDRANT, METRO - WALL MOUNT FLSH",Y,IN FRONT OF 43+00 3RD ST TUNNEL SB SW EASTSIDE - 3RD ST TUNNEL // SBH10,N,2011-08-19T00:00:00.000Z,6,E-13,398772,135677,2012-06-06T06:00:31.000Z,38.88894186,-77.01415303
133,2115445,H05027,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,3RD ST INT JEFFERSON DR SW NWC,Y,2011-11-22T00:00:00.000Z,6,E-13,398669,135680,2012-06-06T06:00:31.000Z,38.88896449,-77.01533728
134,2121278,H20906,"NPS - HYDRANT, CLOW - EDDY",Y,ACCROSS FROM WW II MEMORIAL 17TH ST SW EASTSIDE - NPS,N,2010-07-26T00:00:00.000Z,6,E-23,396582,135687,2012-06-06T06:00:31.000Z,38.88901899,-77.0393936
135,2114204,H04002,"HYDRANT, MUELLER-SUP CENT 250",Y,7TH ST INT JEFFERSON DR SW NWC,Y,2011-11-22T00:00:00.000Z,6,E-13,398086,135690,2012-06-06T06:00:31.000Z,38.88905697,-77.02205651
136,2121167,H20875,"NPS - HYDRANT, AM DARLING - B-62-B",Y,15TH ST INT MADISON DR NW SEC - NPS,N,2012-04-23T00:00:00.000Z,6,E-13,397147,135797,2012-06-06T06:00:31.000Z,38.89001679,-77.03287614
137,2121301,H20929,"DDOT - HYDRANT, METRO - WALL MOUNT FLSH",Y,IN FRONT OF 44+00 3RD ST TUNNEL NB NW WESTSIDE - 3RD ST TUNNEL // NBH5,N,2011-08-19T00:00:00.000Z,6,E-13,398781,135798,2012-06-06T06:00:31.000Z,38.89002794,-77.01404971
138,2121305,H20933,"DDOT - HYDRANT, METRO - WALL MOUNT FLSH",Y,IN FRONT OF 47+00 3RD ST TUNNEL SB NW EASTSIDE - 3RD ST TUNNEL // SBH5,N,2011-08-19T00:00:00.000Z,6,E-13,398774,135804,2012-06-06T06:00:31.000Z,38.89008151,-77.01412937
139,2114793,H04591,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,7TH ST INT MADISON DR NW SWC,Y,2012-04-23T00:00:00.000Z,6,E-13,398087,135819,2012-06-06T06:00:31.000Z,38.89021223,-77.0220433
142,2121168,H20876,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,HENRY BACON DR INT LINCOLN MEMORIAL CIR NW NWC - NPS // NEAR LINCOLN MEM. INT,N,2010-07-28T00:00:00.000Z,6,E-23,395719,135840,2012-06-06T06:00:31.000Z,38.89040059,-77.04934187
144,2117502,H07894,"NPS - HYDRANT, CLOW - EDDY",Y,MADISON DR INT 9TH ST NW SWC,N,2012-04-23T00:00:00.000Z,6,E-13,397904,135845,2012-06-06T06:00:31.000Z,38.89044877,-77.02415877
